Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Total_Sales,Rating
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0253426916897297,15.6000003814697,174.305404663086,5
Low Fat,FDZ04,Frozen Foods,2000,OUT013,Tier 3,High,Supermarket Type1,0.0379235073924065,9.3100004196167,61.6510009765625,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.121848434209824,11.8000001907349,46.8401985168457,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.038029745221138,13.1499996185303,88.6856002807617,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0574853271245956,16.25,126.204597473145,5
Regular,FDP51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0852749869227409,13.8500003814697,119.612396240234,5
Regular,FDT50,Dairy,2000,OUT013,Tier 3,High,Supermarket Type1,0.108148910105228,6.75,95.6752014160156,5
Regular,FDQ08,Fruits and Vegetables,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.0188386812806129,NULL,62.9536018371582,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0481155440211296,10.5,159.094604492188,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.174621343612671,9.30000019073486,104.296401977539,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.105994656682014,20.75,150.568206787109,5
Low Fat,NCJ31,Others,2000,OUT013,Tier 3,High,Supermarket Type1,0.182501778006554,19.2000007629395,239.219604492188,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.0489311739802361,18.1000003814697,127.333602905273,5
Low Fat,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0136582478880882,17.5,256.330413818359,5
Low Fat,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0113054793328047,10.5,235.524795532227,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0146538959816098,7.97499990463257,82.4250030517578,5
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0258673522621393,10,264.622589111328,5
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0242019053548574,10.1000003814697,114.915000915527,5
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0284614525735378,8.93000030517578,152.233993530273,5
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0862662866711617,7.30000019073486,147.207595825195,5
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00555706210434437,7.92999982833862,122.141403198242,5
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0138342473655939,15.3500003814697,62.7168006896973,5
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0166373010724783,19.3500003814697,120.909797668457,5
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.031331580132246,9.5,111.122802734375,5
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0414598025381565,10.5,39.2164001464844,5
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.6000003814697,111.951797485352,5
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00359767791815102,5.88000011444092,153.899795532227,5
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0869161263108253,8.88000011444092,153.368194580078,5
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0352476425468922,10.6000003814697,84.7223968505859,5
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0283655244857073,6.13000011444092,110.091201782227,5
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01518614590168,6.38000011444092,144.947006225586,5
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0481345914304256,9.19499969482422,107.762199401855,5
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0477918796241283,11.3000001907349,180.766006469727,5
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00746805593371391,12.6000003814697,186.955596923828,5
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.113694958388805,17.25,253.472396850586,5
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0674000307917595,19.1000003814697,41.9795989990234,5
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0268824957311153,9.80000019073486,126.302001953125,5
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0100278854370117,7.90500020980835,249.64079284668,5
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0289882887154818,10.8000001907349,239.222198486328,5
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0206005536019802,12.1000003814697,147.573394775391,5
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0758688449859619,15.5,261.756805419922,5
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0794197544455528,20.7000007629395,99.80419921875,5
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0303119514137506,8,247.409194946289,5
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0307420827448368,19.5,85.5540008544922,5
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0297688692808151,14,145.478607177734,5
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,20.25,194.279403686523,5
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0668337419629097,11.3000001907349,257.296203613281,5
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0772845670580864,11.6000003814697,172.410598754883,5
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0994255468249321,16,87.0856018066406,5
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0124775115400553,10.1949996948242,197.110992431641,5
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0266434475779533,13.6499996185303,37.9532012939453,5
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0273861214518547,9.60000038146973,259.230407714844,5
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0114432219415903,10.6949996948242,73.5037994384766,5
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0582071132957935,12.3000001907349,59.1562004089355,5
Low Fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00989381689578295,11.3950004577637,50.3033981323242,5
Regular,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.186148270964622,12.3500003814697,78.2328033447266,5
Regular,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11429451406002,20.7000007629395,94.943603515625,5
Low Fat,NCQ38,Others,1998,OUT019,Tier 1,Small,Grocery Store,0.0234028939157724,NULL,108.227996826172,5
Low Fat,FDK02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.196490898728371,NULL,120.543998718262,5
Low Fat,FDI15,Dairy,1998,OUT019,Tier 1,Small,Grocery Store,0.247490093111992,NULL,263.188385009766,5
Low Fat,FDE09,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.037824735045433,NULL,109.722801208496,5
Low Fat,FDS55,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.142107993364334,NULL,150.373397827148,5
Low Fat,FDZ56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.0450621284544468,NULL,167.547393798828,5
Low Fat,NCA05,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.0440004914999008,NULL,148.273406982422,5
Low Fat,NCK29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0,NULL,123.472999572754,5
Low Fat,NCU29,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.0446077212691307,NULL,145.975997924805,5
Low Fat,NCX41,Health and Hygiene,1998,OUT019,Tier 1,Small,Grocery Store,0.0310241673141718,NULL,210.524398803711,5
Low Fat,NCG07,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.0919243097305298,NULL,189.753005981445,5
Low Fat,NCI30,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.103188492357731,NULL,244.345993041992,5
Low Fat,NCR54,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.158562704920769,NULL,194.710998535156,5
Low Fat,NCT06,Household,1998,OUT019,Tier 1,Small,Grocery Store,0.0678244531154633,NULL,167.784194946289,5
Low Fat,FDN15,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.0292991753667593,NULL,140.317993164063,5
Low Fat,FDJ45,Seafood,1998,OUT019,Tier 1,Small,Grocery Store,0.128532558679581,NULL,34.2215995788574,5
Regular,FDL13,Breakfast,1998,OUT019,Tier 1,Small,Grocery Store,0.0986065417528152,NULL,232.729995727539,5
Regular,FDL02,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.182236552238464,NULL,107.162200927734,5
Regular,FDF56,Fruits and Vegetables,1998,OUT019,Tier 1,Small,Grocery Store,0.209162935614586,NULL,179.197601318359,5
Regular,FDQ27,Meat,1998,OUT019,Tier 1,Small,Grocery Store,0.0774806290864944,NULL,101.399002075195,5
Regular,FDG35,Starchy Foods,1998,OUT019,Tier 1,Small,Grocery Store,0.012327847070992,NULL,173.873794555664,5
Regular,FDD38,Canned,1998,OUT019,Tier 1,Small,Grocery Store,0.0143426591530442,NULL,103.767402648926,5
Regular,FDE41,Frozen Foods,1998,OUT019,Tier 1,Small,Grocery Store,0,NULL,83.7565994262695,5
Low Fat,FDP24,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0830040797591209,20.6000003814697,119.475601196289,5
Low Fat,FDH38,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0104382298886776,6.42500019073486,115.880798339844,5
Low Fat,FDT49,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.151405587792397,7,107.727996826172,5
Low Fat,FDN02,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.073827750980854,16.5,208.863800048828,5
Low Fat,DRF27,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0284172724932432,8.93000030517578,154.533996582031,5
Low Fat,FDT02,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0241947304457426,12.6000003814697,36.1874008178711,5
Low Fat,FDF05,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0268708895891905,17.5,264.490997314453,5
Low Fat,FDI45,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.037581242620945,13.1000003814697,175.505401611328,5
Low Fat,FDZ20,Fruits and Vegetables,2010,OUT046,Tier 1,Small,Supermarket Type1,0.034306962043047,16.1000003814697,252.335601806641,5
Low Fat,NCC42,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0449084043502808,15,140.283798217773,5
Low Fat,NCQ53,Health and Hygiene,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0189053267240524,17.6000003814697,234.658996582031,5
Low Fat,NCR54,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0905621945858002,16.3500003814697,198.210998535156,5
Low Fat,NCX06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0156870447099209,17.6000003814697,182.697601318359,5
Low Fat,NCO06,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.108030430972576,19.25,32.4557991027832,5
Low Fat,NCN54,Household,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0213264711201191,20.3500003814697,76.1327972412109,5
Low Fat,FDL27,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0106309494003654,6.17000007629395,65.9825973510742,5
Low Fat,FDV51,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0325388945639133,16.3500003814697,165.784194946289,5
Low Fat,FDC46,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.116542480885983,17.7000007629395,182.626602172852,5
Low Fat,FDZ58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0521768592298031,17.8500003814697,122.807197570801,5
Low Fat,FDN21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0768556296825409,18.6000003814697,161.02360534668,5
Low Fat,FDO58,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0395771712064743,19.6000003814697,166.152603149414,5
Low Fat,DRD24,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0307950843125582,13.8500003814697,143.315399169922,5
Low Fat,DRI37,Soft Drinks,2010,OUT046,Tier 1,Small,Supermarket Type1,0.107597880065441,15.8500003814697,58.7904014587402,5
Regular,FDI12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.100398942828178,9.39500045776367,89.6856002807617,5
Regular,FDP12,Baking Goods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0452668070793152,9.80000019073486,36.9874000549316,5
Regular,FDO01,Breakfast,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0207186546176672,21.1000003814697,130.499404907227,5
Regular,FDZ37,Canned,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0197685025632381,8.10000038146973,88.6197967529297,5
Regular,FDJ15,Dairy,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0233224779367447,11.3500003814697,182.560806274414,5
Regular,FDM04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0471206083893776,9.19499969482422,53.1665992736816,5
Regular,FDI40,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.125602945685387,11.5,100.835800170898,5
Regular,FDX04,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0415715575218201,19.6000003814697,49.9375991821289,5
Regular,FDS15,Meat,2010,OUT046,Tier 1,Small,Supermarket Type1,0.0780606046319008,9.19499969482422,106.359596252441,5
Regular,FDJ57,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,0.021573644131422,7.42000007629395,184.658203125,5
Regular,FDG21,Seafood,2010,OUT046,Tier 1,Small,Supermarket Type1,0.14629989862442,17.3500003814697,150.404998779297,5
Regular,FDW21,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.00596388103440404,5.34000015258789,99.5357971191406,5
Regular,FDX10,Snack Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.12371052801609,6.38500022888184,37.1874008178711,5
Low Fat,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,17.25,171.576400756836,5
Low Fat,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,12.1499996185303,39.1506004333496,5
Low Fat,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0736977159976959,15.3500003814697,91.9120025634766,5
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0757015272974968,12,124.638801574707,5
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.113497138023376,14.1000003814697,56.1955986022949,5
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.021420031785965,8.0600004196167,232.032592773438,5
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0898596420884132,14.1000003814697,140.249603271484,5
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.124301970005035,19.2000007629395,89.7488021850586,5
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0582203008234501,13.8000001907349,247.480194091797,5
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.115563675761223,9.0649995803833,96.0093994140625,5
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12780037522316,14.3000001907349,83.6223983764648,5
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0436511971056461,5.98000001907349,146.141799926758,5
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0414793975651264,10.5,36.8163986206055,5
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0376574583351612,13.1000003814697,175.805404663086,5
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0724449828267097,14.6999998092651,48.603401184082,5
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0155919250100851,17.5,184.826599121094,5
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0969299972057343,19.1000003814697,233.895797729492,5
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0457618534564972,19.8500003814697,125.601997375488,5
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0244327671825886,9.80000019073486,116.449203491211,5
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0419507548213005,10.8000001907349,190.021392822266,5
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0588553585112095,11.8000001907349,79.1617965698242,5
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.024937791749835,5.88000011444092,148.439193725586,5
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.105459310114384,6.77500009536743,84.625,5
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0707120299339294,8.42000007629395,216.419204711914,5
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0214687921106815,10,251.675003051758,5
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.17762953042984,19.1000003814697,173.942199707031,5
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0143303303048015,19.75,104.233200073242,5
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0332465209066868,12.8500003814697,172.442199707031,5
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0410289354622364,16,142.649597167969,5
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,5,189.852996826172,5
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.051906518638134,5.73000001907349,188.189804077148,5
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0675920993089676,7.80999994277954,246.048599243164,5
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0810500085353851,14.3500003814697,79.1959991455078,5
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.125210374593735,6.46500015258789,266.888397216797,5
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.137270003557205,15.8500003814697,94.4094009399414,5
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00526475487276912,19.8500003814697,264.588409423828,5
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0328115038573742,7.5,239.69059753418,5
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.021984638646245,12.3000001907349,191.216201782227,5
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0395171195268631,18.6000003814697,243.680206298828,5
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0522746928036213,7.71999979019165,79.198600769043,5
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0467470698058605,8.1850004196167,49.9692001342773,5
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0206641778349876,16.3500003814697,50.8324012756348,5
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0410656481981277,9.5,223.508804321289,5
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0169219262897968,12.1000003814697,178.365997314453,5
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.136500984430313,16.6000003814697,173.342193603516,5
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0305271651595831,5.17500019073486,33.5873985290527,5
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0483884215354919,5.40000009536743,163.052597045898,5
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0,11.3950004577637,149.270797729492,5
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.0523352809250355,18.75,108.127998352051,5
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00601241318508983,6.3600001335144,163.052597045898,5
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.059741172939539,14.6000003814697,179.697601318359,5
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.0592688843607903,20.25,246.445999145508,5
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.0270520132035017,20.7000007629395,73.9354019165039,5
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.0332756340503693,19.3500003814697,173.873794555664,5
